sentence,label
بهترین دکتر خانم برای پوست در اردبیل یا مشهد کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
یک دکتر مرد خوب برای کودکان در قم یا اردبیل سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
بهترین دکتر خانم برای روماتیسم در یزد یا شیراز کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
لطفاً یک دکتر مرد برای درمان روانپزشکی در تبریز یا کرمانشاه معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
من به یک دکتر برای درمان اعصاب نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
کسی متخصص مشکلات قلبی در خرم آباد رو می شناسه ؟,"O,O,O,O,O,B-cit,I-cit,O,O,O,O"
من دنبال یک دکتر خانم برای پوست در مشهد یا تبریز می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
بهترین دکتر برای سرطان در ارومیه کیه ؟,"O,O,O,O,O,B-cit,O,O"
یک دکتر مرد خوب برای کودکان در اراک سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
بهترین دکتر زن برای روماتیسم در اراک کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
من دنبال یک دکتر خانم برای مشکلات قلبی در ارومیه می گردم .,"O,O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
کسی یک دکتر زن برای سرطان در اراک یا اصفهان می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
به یک دکتر خوب برای گوش و حلق و بینی نیاز دارم .,"O,O,O,O,O,O,O,O,O,O,O,O,O"
یک دکتر زن خوب برای گوش و حلق و بینی در زنجان یا کرمانشاه سراغ دارید ؟,"O,O,B-gen,O,O,O,O,O,O,O,O,B-cit,O,B-cit,O,O,O"
یک دکتر زن خوب برای کودکان در اراک یا سنندج سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
به نظر شما دکتر خانم برای دیابت در یزد بهتر است یا قم ؟,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O,B-cit,O"
یک دکتر زن خوب برای سرطان در بوشهر یا کرج سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
بهترین دکتر خانم برای پوست در سنندج یا تبریز کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
بهترین دکتر مرد برای گوش و حلق و بینی در سنندج کیه ؟,"O,O,B-gen,O,O,O,O,O,O,O,B-cit,O,O"
یک دکتر خانم خوب برای روانپزشکی در شیراز یا یزد سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
من دنبال یک دکتر مرد برای آسم در قم یا شیراز می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
یک متخصص برای مشکلات قلبی در زنجان سراغ دارید ؟,"O,O,O,O,O,O,B-cit,O,O,O"
لطفاً یک متخصص پوست معرفی کنید .,"O,O,O,O,O,O,O"
من به یک دکتر برای درمان آسم نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
بهترین دکتر خانم برای افسردگی در قم کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
دنبال یک دکتر خانم متخصص اعصاب در یزد هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
به نظر شما دکتر خانم برای دیابت در اراک بهتر است یا کرج ؟,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O,B-cit,O"
کسی متخصص دیابت در یزد رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
کسی متخصص مشکلات قلبی در قم رو می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O,O"
بهترین دکتر مرد برای پوست در اراک یا ساری کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
بهترین دکتر خانم برای آسم در ارومیه کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
کسی متخصص گوش و حلق و بینی در تبریز رو می شناسه ؟,"O,O,O,O,O,O,O,O,B-cit,O,O,O,O"
یک دکتر زن خوب برای اعصاب در بوشهر یا زنجان سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
لطفاً یک دکتر مرد برای درمان روانپزشکی در اراک یا زنجان معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
کسی می تونه یک دکتر خانم برای آسم در تهران معرفی کنه ؟,"O,O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
یک دکتر خانم خوب برای سرطان در قم یا تهران سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
یک دکتر خانم خوب برای گوارش در اراک یا مشهد سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
یک دکتر برای کودکان در سنندج معرفی می کنید ؟,"O,O,O,O,O,B-cit,O,O,O,O"
کسی متخصص چشم در شیراز رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
من دنبال یک دکتر مرد برای کودکان در بوشهر می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
کسی دکتری برای پوست در کرج می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O"
بهترین دکتر مرد برای روانپزشکی در اصفهان کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
کسی دکتری برای ارتوپد در ارومیه می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O"
کسی متخصص گوارش در قم رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
لطفاً یک متخصص روانپزشکی معرفی کنید .,"O,O,O,O,O,O,O"
کسی می تونه یک دکتر مرد برای روماتیسم در همدان معرفی کنه ؟,"O,O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
به نظر شما دکتر مرد برای زنان در مشهد بهتر است یا تهران ؟,"O,O,O,O,B-gen,O,B-gen,O,B-cit,O,O,O,B-cit,O"
بهترین دکتر زن برای گوارش در خرم آباد کیه ؟,"O,O,B-gen,O,O,O,B-cit,I-cit,O,O"
لطفاً یک متخصص کودکان معرفی کنید .,"O,O,O,O,O,O,O"
من دنبال یک دکتر خانم برای پوست در خرم آباد می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,I-cit,O,O,O"
بهترین دکتر خانم برای اعصاب در مشهد یا رشت کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
دنبال دکتر خوبی برای آسم می گردم .,"O,O,O,O,O,O,O,O"
دنبال یک دکتر خانم متخصص گوش و حلق و بینی در اهواز هستم .,"O,O,O,B-gen,O,O,O,O,O,O,O,B-cit,O,O"
کسی یک دکتر مرد برای کودکان در کرج یا همدان می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
آیا می توانید یک دکتر برای مشکلات قلبی معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O,O"
کسی متخصص ارتوپد در زنجان رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
دنبال یک دکتر زن متخصص گوش و حلق و بینی در رشت هستم .,"O,O,O,B-gen,O,O,O,O,O,O,O,B-cit,O,O"
لطفاً یک متخصص چشم معرفی کنید .,"O,O,O,O,O,O,O"
من به یک دکتر برای درمان پوست نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
یک دکتر زن خوب برای زنان در کرج سراغ دارید ؟,"O,O,B-gen,O,O,B-gen,O,B-cit,O,O,O"
به یک دکتر خوب برای اعصاب نیاز دارم .,"O,O,O,O,O,O,O,O,O"
بهترین دکتر خانم برای ارتوپد در یزد یا اراک کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
آیا می توانید یک دکتر برای دیابت معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
لطفاً یک دکتر خانم برای درمان سرطان در زنجان معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
کسی یک دکتر زن برای دیابت در اراک می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
بهترین دکتر مرد برای افسردگی در یزد یا تهران کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
به یک دکتر زن در زنجان برای درمان روماتیسم نیاز دارم .,"O,O,O,B-gen,O,B-cit,O,O,O,O,O,O"
کسی می تونه یک دکتر مرد برای سرطان در رشت معرفی کنه ؟,"O,O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
به نظر شما دکتر زن برای آسم در تبریز بهتر است یا تهران ؟,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O,B-cit,O"
کسی یک دکتر زن برای اعصاب در سنندج یا زنجان می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
کسی یک دکتر مرد برای گوارش در اهواز می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
یک دکتر زن خوب برای آسم در ارومیه یا قم سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
به نظر شما دکتر مرد برای زنان در همدان بهتر است یا ارومیه ؟,"O,O,O,O,B-gen,O,B-gen,O,B-cit,O,O,O,B-cit,O"
آیا می توانید یک دکتر برای چشم معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
دنبال دکتر خوبی برای پوست می گردم .,"O,O,O,O,O,O,O,O"
دنبال یک دکتر مرد متخصص چشم در اصفهان هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
کسی دکتری برای اعصاب در ساری می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O"
بهترین دکتر مرد در خرم آباد برای دیابت چه کسی است ?,"O,O,B-gen,O,B-cit,I-cit,O,O,O,O,O,O"
بهترین دکتر مرد برای گوش و حلق و بینی در ساری یا اراک کیه ؟,"O,O,B-gen,O,O,O,O,O,O,O,B-cit,O,B-cit,O,O"
لطفاً یک دکتر مرد برای درمان پوست در خرم آباد یا اصفهان معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,I-cit,O,B-cit,O,O,O"
من دنبال یک دکتر خانم برای مشکلات قلبی در رشت می گردم .,"O,O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
من دنبال یک دکتر زن برای دیابت در اهواز یا تهران می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
بهترین دکتر خانم برای چشم در اراک یا کرج کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
یک دکتر زن خوب برای گوش و حلق و بینی در بوشهر سراغ دارید ؟,"O,O,B-gen,O,O,O,O,O,O,O,O,B-cit,O,O,O"
من دنبال یک دکتر خانم برای روماتیسم در ارومیه یا اردبیل می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
آیا دکتری خانم در ارومیه برای گوارش می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O"
به یک دکتر خانم در ارومیه برای درمان روانپزشکی نیاز دارم .,"O,O,O,B-gen,O,B-cit,O,O,O,O,O,O"
یک دکتر برای روماتیسم در ارومیه معرفی می کنید ؟,"O,O,O,O,O,B-cit,O,O,O,O"
من دنبال یک دکتر زن برای زنان در خرم آباد یا زنجان می گردم .,"O,O,O,O,B-gen,O,B-gen,O,B-cit,I-cit,O,B-cit,O,O,O"
به نظر شما دکتر مرد برای روماتیسم در شیراز بهتر است یا همدان ؟,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O,B-cit,O"
یک متخصص برای روماتیسم در شیراز سراغ دارید ؟,"O,O,O,O,O,B-cit,O,O,O"
من به یک دکتر برای درمان زنان نیاز دارم .,"O,O,O,O,O,O,B-gen,O,O,O"
به یک دکتر خوب برای چشم نیاز دارم .,"O,O,O,O,O,O,O,O,O"
بهترین دکتر مرد برای پوست در قم کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
آیا می توانید یک دکتر برای گوش و حلق و بینی معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O,O,O,O,O"
لطفاً یک متخصص کودکان معرفی کنید .,"O,O,O,O,O,O,O"
کسی یک دکتر زن برای روماتیسم در رشت می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
یک دکتر برای چشم در تهران معرفی می کنید ؟,"O,O,O,O,O,B-cit,O,O,O,O"
من دنبال یک دکتر زن برای گوش و حلق و بینی در قم یا یزد می گردم .,"O,O,O,O,B-gen,O,O,O,O,O,O,O,B-cit,O,B-cit,O,O,O"
بهترین دکتر مرد در خرم آباد برای سرطان چه کسی است ?,"O,O,B-gen,O,B-cit,I-cit,O,O,O,O,O,O"
کسی متخصص گوش و حلق و بینی در کرج رو می شناسه ؟,"O,O,O,O,O,O,O,O,B-cit,O,O,O,O"
بهترین دکتر خانم در سنندج برای افسردگی چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
آیا می توانید یک دکتر برای سرطان معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
بهترین دکتر خانم برای کودکان در کرج کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
کسی متخصص چشم در اصفهان رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
یک متخصص برای دیابت در مشهد سراغ دارید ؟,"O,O,O,O,O,B-cit,O,O,O"
کسی می تونه یک دکتر زن برای مشکلات قلبی در تبریز معرفی کنه ؟,"O,O,O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
بهترین دکتر برای افسردگی در همدان کیه ؟,"O,O,O,O,O,B-cit,O,O"
کسی یک دکتر زن برای مشکلات قلبی در اردبیل می شناسه ؟,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
لطفاً یک دکتر زن برای درمان روانپزشکی در تهران معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
کسی دکتری برای افسردگی در اصفهان می شناسه ؟,"O,O,O,O,O,B-cit,O,O,O"
کسی متخصص پوست در اراک رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
آیا دکتری زن در ساری برای افسردگی می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O"
یک دکتر خانم خوب برای مشکلات قلبی در قم سراغ دارید ؟,"O,O,B-gen,O,O,O,O,O,B-cit,O,O,O"
من به یک دکتر برای درمان زنان نیاز دارم .,"O,O,O,O,O,O,B-gen,O,O,O"
بهترین دکتر برای روماتیسم در یزد کیه ؟,"O,O,O,O,O,B-cit,O,O"
لطفاً یک دکتر مرد برای درمان پوست در تهران معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
کسی متخصص سرطان در کرمانشاه رو می شناسه ؟,"O,O,O,O,B-cit,O,O,O,O"
یک دکتر زن خوب برای کودکان در یزد سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
به یک دکتر خوب برای کودکان نیاز دارم .,"O,O,O,O,O,O,O,O,O"
بهترین دکتر خانم برای گوارش در اراک یا اهواز کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
دنبال یک دکتر زن متخصص گوارش در زنجان هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
بهترین دکتر خانم برای زنان در ساری یا مشهد کیه ؟,"O,O,B-gen,O,B-gen,O,B-cit,O,B-cit,O,O"
یک دکتر زن خوب برای اعصاب در مشهد یا اهواز سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
یک دکتر زن خوب برای زنان در یزد یا خرم آباد سراغ دارید ؟,"O,O,B-gen,O,O,B-gen,O,B-cit,O,B-cit,I-cit,O,O,O"
لطفاً یک متخصص پوست معرفی کنید .,"O,O,O,O,O,O,O"
آیا می توانید یک دکتر برای آسم معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
لطفاً یک دکتر زن برای درمان ارتوپد در اراک یا یزد معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
یک دکتر برای مشکلات قلبی در اراک معرفی می کنید ؟,"O,O,O,O,O,O,B-cit,O,O,O,O"
بهترین دکتر برای مشکلات قلبی در یزد کیه ؟,"O,O,O,O,O,O,B-cit,O,O"
دنبال یک دکتر خانم متخصص افسردگی در اصفهان هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
لطفاً یک دکتر مرد برای درمان کودکان در کرمانشاه معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
کسی یک دکتر مرد برای اعصاب در کرمانشاه می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
من به یک دکتر برای درمان افسردگی نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
یک دکتر خانم خوب برای چشم در بوشهر یا اردبیل سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
من دنبال یک دکتر زن برای گوش و حلق و بینی در تهران می گردم .,"O,O,O,O,B-gen,O,O,O,O,O,O,O,B-cit,O,O,O"
بهترین دکتر برای پوست در ساری کیه ؟,"O,O,O,O,O,B-cit,O,O"
یک متخصص برای گوش و حلق و بینی در مشهد سراغ دارید ؟,"O,O,O,O,O,O,O,O,O,B-cit,O,O,O"
کسی می تونه یک دکتر زن برای آسم در سنندج معرفی کنه ؟,"O,O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
کسی یک دکتر زن برای دیابت در اصفهان یا ارومیه می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
دنبال یک دکتر مرد متخصص کودکان در تهران هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
دنبال دکتر خوبی برای زنان می گردم .,"O,O,O,O,B-gen,O,O,O"
بهترین دکتر مرد برای روانپزشکی در اهواز یا اصفهان کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
یک دکتر مرد خوب برای مشکلات قلبی در رشت یا تبریز سراغ دارید ؟,"O,O,B-gen,O,O,O,O,O,B-cit,O,B-cit,O,O,O"
لطفاً یک دکتر زن برای درمان دیابت در سنندج معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
بهترین دکتر مرد برای پوست در کرمانشاه یا سنندج کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
یک دکتر زن خوب برای ارتوپد در قم سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
کسی دکتری برای زنان در کرج می شناسه ؟,"O,O,O,B-gen,O,B-cit,O,O,O"
بهترین دکتر خانم در اهواز برای دیابت چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
یک دکتر خانم خوب برای ارتوپد در اهواز یا رشت سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
دنبال دکتر خوبی برای سرطان می گردم .,"O,O,O,O,O,O,O,O"
من دنبال یک دکتر زن برای افسردگی در ساری یا تبریز می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
آیا دکتری خانم در تهران برای گوارش می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O"
من دنبال یک دکتر مرد برای پوست در رشت یا کرمانشاه می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
لطفاً یک دکتر زن برای درمان ارتوپد در کرمانشاه یا تبریز معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
دنبال یک دکتر مرد متخصص سرطان در کرج هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
کسی یک دکتر مرد برای گوارش در مشهد یا اردبیل می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
لطفاً یک دکتر زن برای درمان سرطان در قم یا یزد معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
بهترین دکتر مرد برای اعصاب در همدان یا یزد کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
آیا دکتری خانم در تبریز برای مشکلات قلبی می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
بهترین دکتر برای آسم در بوشهر کیه ؟,"O,O,O,O,O,B-cit,O,O"
آیا می توانید یک دکتر برای اعصاب معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
یک دکتر مرد خوب برای دیابت در سنندج سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
کسی یک دکتر مرد برای آسم در مشهد یا اهواز می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
من به یک دکتر برای درمان اعصاب نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
یک دکتر خانم خوب برای ارتوپد در اراک یا ارومیه سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
آیا دکتری مرد در همدان برای گوش و حلق و بینی می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O,O,O,O,O"
کسی دکتری برای گوش و حلق و بینی در اردبیل می شناسه ؟,"O,O,O,O,O,O,O,O,O,B-cit,O,O,O"
بهترین دکتر خانم برای کودکان در خرم آباد کیه ؟,"O,O,B-gen,O,O,O,B-cit,I-cit,O,O"
آیا دکتری خانم در اصفهان برای مشکلات قلبی می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
دنبال یک دکتر زن متخصص مشکلات قلبی در سنندج هستم .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O"
یک دکتر زن خوب برای ارتوپد در بوشهر یا قم سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
من دنبال یک دکتر خانم برای سرطان در کرمانشاه یا اردبیل می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
آیا دکتری مرد در تبریز برای گوش و حلق و بینی می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O,O,O,O,O"
دنبال دکتر خوبی برای اعصاب می گردم .,"O,O,O,O,O,O,O,O"
من دنبال یک دکتر مرد برای روانپزشکی در بوشهر می گردم .,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O"
به یک دکتر مرد در تبریز برای درمان سرطان نیاز دارم .,"O,O,O,B-gen,O,B-cit,O,O,O,O,O,O"
دنبال دکتر خوبی برای افسردگی می گردم .,"O,O,O,O,O,O,O,O"
من به یک دکتر برای درمان زنان نیاز دارم .,"O,O,O,O,O,O,B-gen,O,O,O"
لطفاً یک دکتر زن برای درمان سرطان در اردبیل معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
به نظر شما دکتر مرد برای گوش و حلق و بینی در همدان بهتر است یا کرج ؟,"O,O,O,O,B-gen,O,O,O,O,O,O,O,B-cit,O,O,O,B-cit,O"
من دنبال یک دکتر مرد برای مشکلات قلبی در کرمانشاه یا ساری می گردم .,"O,O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
به نظر شما دکتر مرد برای اعصاب در ساری بهتر است یا زنجان ؟,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O,B-cit,O"
لطفاً یک دکتر زن برای درمان گوش و حلق و بینی در خرم آباد معرفی کنید .,"O,O,O,B-gen,O,O,O,O,O,O,O,O,B-cit,I-cit,O,O,O"
دنبال یک دکتر مرد متخصص افسردگی در اصفهان هستم .,"O,O,O,B-gen,O,O,O,B-cit,O,O"
یک دکتر زن خوب برای آسم در تبریز سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
دنبال دکتر خوبی برای پوست می گردم .,"O,O,O,O,O,O,O,O"
من دنبال یک دکتر خانم برای زنان در بوشهر یا خرم آباد می گردم .,"O,O,O,O,B-gen,O,B-gen,O,B-cit,O,B-cit,I-cit,O,O,O"
آیا می توانید یک دکتر برای مشکلات قلبی معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O,O"
بهترین دکتر خانم در ساری برای روماتیسم چه کسی است ?,"O,O,B-gen,O,B-cit,O,O,O,O,O,O"
یک متخصص برای اعصاب در رشت سراغ دارید ؟,"O,O,O,O,O,B-cit,O,O,O"
بهترین دکتر برای پوست در اراک کیه ؟,"O,O,O,O,O,B-cit,O,O"
یک دکتر برای افسردگی در قم معرفی می کنید ؟,"O,O,O,O,O,B-cit,O,O,O,O"
کسی یک دکتر زن برای اعصاب در رشت می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
لطفاً یک دکتر زن برای درمان کودکان در اراک یا سنندج معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
به یک دکتر خوب برای مشکلات قلبی نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
یک متخصص برای افسردگی در ارومیه سراغ دارید ؟,"O,O,O,O,O,B-cit,O,O,O"
من به یک دکتر برای درمان گوش و حلق و بینی نیاز دارم .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O"
به یک دکتر خوب برای پوست نیاز دارم .,"O,O,O,O,O,O,O,O,O"
کسی یک دکتر خانم برای چشم در اردبیل یا اصفهان می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
دنبال دکتر خوبی برای سرطان می گردم .,"O,O,O,O,O,O,O,O"
من به یک دکتر برای درمان چشم نیاز دارم .,"O,O,O,O,O,O,O,O,O,O"
دنبال دکتر خوبی برای اعصاب می گردم .,"O,O,O,O,O,O,O,O"
یک دکتر مرد خوب برای آسم در رشت یا تبریز سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
لطفاً یک دکتر زن برای درمان کودکان در ساری یا سنندج معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
بهترین دکتر مرد برای گوارش در سنندج کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,O"
آیا دکتری خانم در تهران برای گوش و حلق و بینی می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O,O,O,O,O"
دنبال دکتر خوبی برای پوست می گردم .,"O,O,O,O,O,O,O,O"
به نظر شما دکتر مرد برای پوست در ارومیه بهتر است یا تبریز ؟,"O,O,O,O,B-gen,O,O,O,B-cit,O,O,O,B-cit,O"
یک دکتر خانم خوب برای روماتیسم در کرمانشاه سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,O,O"
یک دکتر خانم خوب برای افسردگی در اصفهان یا ارومیه سراغ دارید ؟,"O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
بهترین دکتر مرد برای روانپزشکی در شیراز یا همدان کیه ؟,"O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O"
لطفاً یک دکتر زن برای درمان کودکان در قم یا تهران معرفی کنید .,"O,O,O,B-gen,O,O,O,O,B-cit,O,B-cit,O,O,O"
کسی یک دکتر خانم برای کودکان در مشهد می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,O,O"
آیا دکتری خانم در زنجان برای پوست می شناسید ؟,"O,O,B-gen,O,B-cit,O,O,O,O,O"
کسی یک دکتر زن برای مشکلات قلبی در اهواز می شناسه ؟,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
آیا می توانید یک دکتر برای آسم معرفی کنید ؟,"O,O,O,O,O,O,O,O,O,O"
کسی یک دکتر زن برای مشکلات قلبی در اراک می شناسه ؟,"O,O,O,B-gen,O,O,O,O,B-cit,O,O,O"
کسی یک دکتر خانم برای افسردگی در اردبیل یا ارومیه می شناسه ؟,"O,O,O,B-gen,O,O,O,B-cit,O,B-cit,O,O,O"
